"Reference","Value","Footprint","Datasheet","MPN","Qty"
"BT1","Battery_Cell","2479_battery_holder:2479","~","","1"
"C1, C2, C5","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","TCP0J106M8R","3"
"C3, C4","1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","CL21B105KAFNNNE","2"
"D1-D5","SunLED_RGB_ReverseMount","sunled:XZMDKCBDDG45S-9","https://www.sunledusa.com/products/spec/XZMDKCBDDG45S-9.pdf","XZMDKCBDDG45S-9","5"
"D6-D11","LED","aerospace_badge:led_in-s124ar","~","IN-S124ARUW","6"
"J1","","Badge_Libraries:Wright X3","","","1"
"J2","Conn_02x03_Counter_Clockwise","aerospace_badge:esp32_programming_connector","~","","1"
"J3","","aerospace_badge:sao_1.69","","SFH11-NBPC-D03-ST-BK","1"
"Q1-Q6","BC817","Package_TO_SOT_SMD:SOT-23","https://www.mccsemi.com/pdf/Products/MMSS8050HE3(SOT-23).pdf","MMSS8050HE3-L-TP","6"
"R1, R11","150","Resistor_SMD:R_0805_2012Metric","~","RC0805JR-07150RL","2"
"R2, R3, R12, R13","30","Resistor_SMD:R_0805_2012Metric","~","RC0805FR-0730RL","4"
"R4-R6, R14-R16","1K","Resistor_SMD:R_0805_2012Metric","https://www.seielect.com/Catalog/SEI-RNCP.pdf","RNCP0805FTD1K00","6"
"R7, R9, R10","4.7K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RC0805JR-074K7L","3"
"R8","10K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RMCF0805JG10K0","1"
"R17-R22","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RC0805FR-13330RL","6"
"SW1, SW2","SW_SPDT","aerospace_badge:switch_JS202011SCQN","~","JS202011SCQN","2"
"U1","","aerospace_badge:R1170X-SOT-89-5","https://www.nisshinbo-microdevices.co.jp/en/pdf/datasheet/r1170-ea.pdf","R1170H331B-T1-FE","1"
"U2","ESP32-S2-SOLO","Espressif:ESP32-S2-SOLO","https://www.espressif.com/sites/default/files/documentation/esp32-s2-solo_esp32-s2-solo-u_datasheet_en.pdf","ESP32-S2-SOLO-2-N4","1"
